NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286444,10,2023,900180,2,,5,16.6667
05286444,10,2023,900200,2,,1,137.3333
05286444,10,2023,900200,2,,2,137.3333
05286444,10,2023,900200,2,,3,137.3333
05286444,10,2023,900200,2,,4,137.3333
05286444,10,2023,900200,2,,5,137.3333
05286444,10,2023,900210,2,,1,1666.75
05286444,10,2023,900210,2,,2,1666.75
05286444,10,2023,900210,2,,3,1666.75
05286444,10,2023,900210,2,,4,1666.75
05286444,10,2023,900210,2,,5,1666.75
05286444,10,2023,980000,2,,1,5960.4167
05286444,10,2023,980000,2,,2,5960.4167
05286444,10,2023,980000,2,,3,5960.4167
05286444,10,2023,980000,2,,4,5960.4167
05286444,10,2023,980000,2,,5,5960.4167
05286444,10,2023,980071,2,,1,5285
05286444,10,2023,980071,2,,2,5285
05286444,10,2023,980071,2,,3,5285
05286444,10,2023,980071,2,,4,5285
05286444,10,2023,980071,2,,5,5285
05286444,11,2023,900030,2,,1,1672.6667
05286444,11,2023,900030,2,,2,1672.6667
05286444,11,2023,900030,2,,3,1672.6667
05286444,11,2023,900030,2,,4,1672.6667
05286444,11,2023,900030,2,,5,1672.6667
05286444,11,2023,900170,2,,1,2467
05286444,11,2023,900170,2,,2,2467
05286444,11,2023,900170,2,,3,2467
05286444,11,2023,900170,2,,4,2467
05286444,11,2023,900170,2,,5,2467
05286444,11,2023,900180,2,,1,16.6667
05286444,11,2023,900180,2,,2,16.6667
05286444,11,2023,900180,2,,3,16.6667
05286444,11,2023,900180,2,,4,16.6667
05286444,11,2023,900180,2,,5,16.6667
05286444,11,2023,900200,2,,1,137.3333
05286444,11,2023,900200,2,,2,137.3333
05286444,11,2023,900200,2,,3,137.3333
05286444,11,2023,900200,2,,4,137.3333
05286444,11,2023,900200,2,,5,137.3333
05286444,11,2023,900210,2,,1,1666.75
05286444,11,2023,900210,2,,2,1666.75
05286444,11,2023,900210,2,,3,1666.75
05286444,11,2023,900210,2,,4,1666.75
05286444,11,2023,900210,2,,5,1666.75
05286444,11,2023,980000,2,,1,5960.4167
05286444,11,2023,980000,2,,2,5960.4167
05286444,11,2023,980000,2,,3,5960.4167
05286444,11,2023,980000,2,,4,5960.4167
05286444,11,2023,980000,2,,5,5960.4167
05286444,11,2023,980071,2,,1,5285
05286444,11,2023,980071,2,,2,5285
05286444,11,2023,980071,2,,3,5285
05286444,11,2023,980071,2,,4,5285
05286444,11,2023,980071,2,,5,5285
