QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH
20241,05291154,1,0,1,660,D,1,D,11,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291324,2,0,1,640,D,1,D,11,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,1
20241,05291394,1,0,1,240,D,1,D,12,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291394,2,0,1,700,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291394,3,0,1,700,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291414,1,0,1,660,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291414,2,0,1,470,D,1,D,11,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291424,2,0,1,365,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05291484,1,0,1,365,D,1,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05291494,1,0,1,300,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291494,2,0,1,460,D,1,D,12,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291494,3,0,1,500,D,1,D,12,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291494,4,0,1,500,D,1,D,12,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291544,2,0,1,365,D,1,D,10,D,720,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05291674,1,0,1,660,D,1,D,12,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
