QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05291534,20,0,1,355,D,1,D,15,D,13,D,
20241,05291544,29,0,1,830,D,1,D,130,D,13,D,
20241,05291584,14,0,1,830,D,1,D,25,D,13,D,
20241,05291584,15,0,1,610,D,1,D,138,D,10,D,
20241,05291584,16,0,1,600,D,1,D,1200,D,12,D,
20241,05291584,17,0,1,520,D,1,D,35,D,12,D,
20241,05291584,18,0,1,355,D,1,D,25,D,13,D,
20241,05291584,19,0,1,310,D,1,D,135,D,11,D,
20241,05291584,20,0,2,610,D,1,D,400,D,10,D,
20241,05291664,15,0,1,355,D,1,D,17,D,13,D,
20241,05291674,45,0,1,830,D,1,D,35,D,13,D,
20241,05291674,46,0,1,355,D,1,D,19,D,13,D,
20241,05291674,47,0,1,355,D,1,D,34,D,13,D,
20241,05291674,48,0,1,400,D,1,D,20,D,11,D,
20241,05291674,49,0,1,400,D,1,D,21,D,11,D,
20241,05291674,50,0,2,530,D,1,D,72,D,10,D,
20241,05291674,51,0,2,400,D,1,D,20,D,10,D,
20241,05291694,43,0,1,830,D,1,D,150,D,13,D,1
20241,05291694,44,0,1,610,D,1,D,100,D,10,D,1
20241,05291694,45,0,1,610,D,1,D,100,D,11,D,1
20241,05291694,46,0,1,610,D,1,D,100,D,12,D,1
20241,05291694,47,0,1,610,D,1,D,225,D,10,D,1
20241,05291694,48,0,1,600,D,1,D,450,D,10,D,2
20241,05291694,49,0,1,330,D,1,D,25,D,13,D,
20241,05291694,50,0,1,370,D,1,D,70,D,10,D,
20241,05291714,33,0,1,355,D,1,D,58,D,13,D,
20241,05291764,20,0,1,830,D,1,D,22,D,13,D,
20241,05291764,21,0,1,820,D,1,D,100,D,10,D,
20241,05291764,22,0,1,840,D,1,D,50,D,12,D,
20241,05291764,23,0,1,840,D,1,D,15,D,13,D,
20241,05291764,24,0,1,330,D,1,D,17,D,13,D,
20241,05291774,26,0,1,520,D,1,D,10,D,10,D,
20241,05291774,27,0,1,520,D,1,D,10,D,11,D,
20241,05291774,28,0,1,520,D,1,D,10,D,12,D,
20241,05291884,13,0,1,840,D,1,D,12,D,13,D,
20241,05291884,14,0,1,830,D,1,D,100,D,13,D,
20241,05291894,27,0,1,700,D,1,D,30,D,13,D,
20241,05291894,28,0,2,500,D,1,D,80,D,10,D,
20241,05291914,35,0,1,500,D,1,D,90,D,12,D,1
