QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05292894,2,0,1,2,D,2,D,78,D,0,D,910,D,,A,,A,150,D,,
20241,05292914,5,0,1,2,D,2,D,325,D,0,D,3900,D,,A,,A,0,D,,
20241,05292934,6,0,1,2,D,2,D,650,D,325,D,1300,D,,A,,A,0,D,,
20241,05292954,11,0,1,2,D,2,D,1560,D,0,D,3640,D,,A,,A,400,D,,
20241,05292984,4,0,1,2,D,2,D,52,D,0,D,2600,D,,A,,A,50,D,,
20241,05292994,3,0,1,1,D,1,D,780,D,0,D,2210,D,650,D,260,D,0,D,,
20241,05293014,8,0,1,2,D,2,D,975,D,0,D,2860,D,,A,,A,20,D,,
20241,05293074,2,0,1,1,D,2,D,65,D,0,D,1625,D,260,D,,A,0,D,,
20241,05293084,2,0,1,2,D,1,D,0,D,195,D,650,D,,A,65,D,0,D,,
20241,05293184,3,0,1,2,D,2,D,130,D,0,D,650,D,,A,,A,2,D,,
20241,05293254,5,0,1,2,D,2,D,0,D,0,D,910,D,,A,,A,0,D,,
20241,05293274,3,0,1,2,D,2,D,1555,F,499,F,2600,D,,A,,A,0,D,,
20241,05293324,2,0,1,2,D,2,D,390,D,0,D,4225,D,,A,,A,0,D,,
20241,05293344,2,0,1,2,D,2,D,1300,D,130,D,650,D,,A,,A,0,D,,
20241,05293374,5,0,1,2,D,1,D,975,D,0,D,2600,D,,A,325,D,150,D,,
20241,05293424,2,0,1,2,D,2,D,390,D,130,D,650,D,,A,,A,60,D,,
20241,05293434,12,0,1,2,D,1,D,2600,D,0,D,3900,D,,A,65,D,0,D,,
20241,05293524,6,0,1,2,D,2,D,1300,D,390,D,1950,D,,A,,A,100,D,,
20241,05293534,2,0,1,2,D,2,D,1300,D,0,D,3900,D,,A,,A,0,D,,
20241,05293554,9,0,1,2,D,2,D,520,D,0,D,2275,D,,A,,A,200,D,,
20241,05293574,4,0,1,2,D,2,D,1950,D,650,D,1300,D,,A,,A,200,D,,
20241,05293594,5,0,1,2,D,2,D,0,D,0,D,5200,D,,A,,A,0,D,,
20241,05293604,7,0,1,2,D,2,D,650,D,325,D,3250,D,,A,,A,400,D,,
20241,05293634,3,0,1,2,D,2,D,650,D,195,D,1950,D,,A,,A,100,D,,
20241,05293644,4,0,1,1,D,2,D,390,D,0,D,1300,D,672,F,,A,0,D,,
20241,05293674,7,0,1,2,D,2,D,1300,D,260,D,1950,D,,A,,A,0,D,,
20241,05293684,4,0,1,2,D,2,D,390,D,0,D,1625,D,,A,,A,0,D,,
20241,05293694,9,0,1,2,D,2,D,1352,D,1118,D,2509,D,,A,,A,0,D,,
20241,05293774,4,0,1,2,D,2,D,0,D,0,D,1300,D,,A,,A,20,D,,
20241,05293784,7,0,1,2,D,2,D,650,D,0,D,3250,D,,A,,A,50,D,,
20241,05293824,2,0,1,2,D,2,D,1040,D,0,D,1300,D,,A,,A,0,D,,
20241,05293844,7,0,1,1,D,2,D,169,D,0,D,1950,D,650,D,,A,5,D,,
20241,05293854,7,0,1,2,D,2,D,650,D,130,D,1950,D,,A,,A,0,D,,
20241,05293874,12,0,1,2,D,2,D,7631,D,130,D,1326,D,,A,,A,150,D,,
20241,05293894,5,0,1,2,D,1,D,260,D,260,D,1950,D,,A,520,D,600,D,,
20241,05293954,9,0,1,2,D,2,D,1781,D,52,D,3042,D,,A,,A,100,D,,
20241,05293984,12,0,1,2,D,2,D,390,D,0,D,2600,D,,A,,A,60,D,,
20241,05294024,3,0,1,2,D,2,D,325,D,325,D,975,D,,A,,A,0,D,,
20241,05294074,8,0,1,2,D,2,D,2600,D,0,D,6500,D,,A,,A,600,D,,
20241,05294084,5,0,1,2,D,2,D,1300,D,0,D,5850,D,,A,,A,0,D,,
20241,05294114,2,0,1,2,D,2,D,0,D,0,D,1625,D,,A,,A,0,D,,
20241,05294124,5,0,1,2,D,2,D,0,D,0,D,390,D,,A,,A,0,D,,
20241,05294164,2,0,1,2,D,2,D,0,D,0,D,845,D,,A,,A,0,D,,
20241,05294214,6,0,1,2,D,2,D,1560,D,0,D,1950,D,,A,,A,10,D,,
20241,05294254,12,0,1,2,D,2,D,650,D,0,D,2600,D,,A,,A,0,D,,
20241,05294284,2,0,1,2,D,2,D,3250,D,0,D,650,D,,A,,A,0,D,,
20241,05294314,6,0,1,2,D,2,D,650,D,0,D,2600,D,,A,,A,300,D,,
20241,05294394,11,0,1,2,D,2,D,1560,D,0,D,2275,D,,A,,A,400,D,,
20241,05294434,2,0,1,2,D,2,D,650,D,0,D,650,D,,A,,A,0,D,,
20241,05294474,2,0,1,2,D,2,D,3796,D,52,D,4238,D,,A,,A,300,D,,
20241,05294484,2,0,1,2,D,2,D,1300,D,260,D,1300,D,,A,,A,0,D,,
20241,05294504,2,0,1,1,D,2,D,0,D,195,D,1950,D,520,D,,A,0,D,2,
20241,05294514,2,0,1,2,D,2,D,0,D,0,D,780,D,,A,,A,0,D,,
20241,05294544,3,0,1,2,D,2,D,1300,D,195,D,1950,D,,A,,A,0,D,,
